area_type,location,size,total_sqft,bath,balcony,price,no_of_bedrooms,price_per_sqft
Plot  Area,other,4 Bedroom,2679,5,2,280,4,10451.66107
Plot  Area,other,2 Bedroom,1230,2,0,75,2,6097.560976
Built-up  Area,other,2 BHK,1080,2,2,44.8,2,4148.148148
Carpet  Area,other,8 Bedroom,3150,5,2,145,8,4603.174603
Plot  Area,other,2 Bedroom,2400,2,2,135,2,5625
Plot  Area,other,2 Bedroom,880,2,1,48,2,5454.545455
Super built-up  Area,other,2 BHK,1150,2,2,45,2,3913.043478
Super built-up  Area,other,2 BHK,1194,2,0,55,2,4606.365159
Built-up  Area,other,3 Bedroom,2000,3,1,90,3,4500
Built-up  Area,other,2 BHK,1025,2,0,42.5,2,4146.341463
Super built-up  Area,other,2 BHK,1022,2,2,57,2,5577.299413
Plot  Area,other,2 Bedroom,1200,2,1,76,2,6333.333333
Super built-up  Area,other,2 BHK,1200,1,1,54,2,4500
Super built-up  Area,other,2 BHK,950,2,2,38,2,4000
Super built-up  Area,other,3 BHK,1605,3,2,100,3,6230.529595
Built-up  Area,other,3 BHK,1542,3,2,98,3,6355.38262
Built-up  Area,other,2 BHK,1012,2,0,42,2,4150.197628
Built-up  Area,other,5 Bedroom,3600,5,0,110,5,3055.555556
Super built-up  Area,other,2 BHK,1333,2,2,77.27,2,5796.699175
Built-up  Area,other,3 Bedroom,1100,3,1,110,3,10000
Built-up  Area,other,2 BHK,1050,2,1,70,2,6666.666667
Built-up  Area,other,2 BHK,1140,2,1,32.92,2,2887.719298
Super built-up  Area,other,3 BHK,2000,3,2,105,3,5250
Super built-up  Area,other,2 BHK,1075,2,1,55,2,5116.27907
Plot  Area,other,4 Bedroom,1200,4,2,165,4,13750
Built-up  Area,other,3 BHK,1100,2,1,145,3,13181.81818
Built-up  Area,other,2 BHK,1069,2,1,55,2,5144.995323
Plot  Area,other,3 Bedroom,1200,3,2,99,3,8250
Built-up  Area,other,2 BHK,1007,2,2,43,2,4270.109235
Super built-up  Area,other,6 BHK,4250,6,3,150,6,3529.411765
Super built-up  Area,other,2 BHK,1000,2,1,60,2,6000
Built-up  Area,other,3 Bedroom,5720,3,0,350,3,6118.881119
Super built-up  Area,other,2 BHK,675,1,1,15,2,2222.222222
Super built-up  Area,other,2 BHK,1012,2,1,59,2,5830.039526
Super built-up  Area,other,3 BHK,1280,2,2,49,3,3828.125
Super built-up  Area,other,2 BHK,925,2,2,35,2,3783.783784
Built-up  Area,other,4 Bedroom,1200,4,1,140,4,11666.66667
Plot  Area,other,2 Bedroom,600,2,2,39,2,6500
Super built-up  Area,other,3 BHK,1240,2,2,65,3,5241.935484
Built-up  Area,other,2 BHK,1100,2,2,55,2,5000
Super built-up  Area,other,3 BHK,1700,3,2,111,3,6529.411765
Super built-up  Area,other,2 BHK,1340,2,1,65,2,4850.746269
Super built-up  Area,other,2 BHK,1200,2,1,54,2,4500
Super built-up  Area,other,2 BHK,1600,2,1,31,2,1937.5
Built-up  Area,other,3 Bedroom,1780,3,0,110,3,6179.775281
Plot  Area,other,5 Bedroom,1800,4,1,68,5,3777.777778
Plot  Area,other,3 Bedroom,1080,3,2,149,3,13796.2963
Built-up  Area,other,3 BHK,900,2,0,65,3,7222.222222
Super built-up  Area,other,2 BHK,946,2,2,45,2,4756.871036
Plot  Area,other,4 Bedroom,1200,3,2,160,4,13333.33333
Super built-up  Area,other,3 BHK,1540,3,3,85,3,5519.480519
Super built-up  Area,other,3 BHK,2456,3,3,220,3,8957.654723
Super built-up  Area,other,3 BHK,1610,2,2,64.4,3,4000
Plot  Area,other,2 Bedroom,1530,2,1,185,2,12091.50327
Super built-up  Area,other,3 BHK,1439,3,1,57.23,3,3977.067408
Super built-up  Area,other,3 BHK,1435,2,1,60,3,4181.184669
Super built-up  Area,other,3 BHK,1717,3,3,120,3,6988.934188
Super built-up  Area,other,3 BHK,1409,2,3,62,3,4400.283889
Super built-up  Area,other,2 BHK,1250,2,1,50,2,4000
Built-up  Area,other,2 BHK,1475,2,2,171,2,11593.22034
Plot  Area,other,2 Bedroom,1225,2,0,65,2,5306.122449
Built-up  Area,other,1 BHK,650,1,0,16,1,2461.538462
Super built-up  Area,other,3 BHK,1750,3,3,75,3,4285.714286
Super built-up  Area,other,3 BHK,1504,2,2,102,3,6781.914894
Super built-up  Area,other,2 BHK,1116,2,1,49.8,2,4462.365591
Super built-up  Area,other,4 BHK,1800,4,1,145,4,8055.555556
Super built-up  Area,other,4 BHK,3000,4,2,240,4,8000
Super built-up  Area,other,2 BHK,1150,2,1,60,2,5217.391304
Carpet  Area,other,3 BHK,1625,3,3,92,3,5661.538462
Super built-up  Area,other,4 BHK,2400,4,3,250,4,10416.66667
Super built-up  Area,other,2 BHK,1180,2,2,50,2,4237.288136
Super built-up  Area,other,2 BHK,1272,2,2,51.5,2,4048.742138
Super built-up  Area,other,3 BHK,1490,2,1,92,3,6174.496644
Plot  Area,other,4 Bedroom,2400,5,2,140,4,5833.333333
Super built-up  Area,other,2 BHK,1044,2,1,60,2,5747.126437
Super built-up  Area,other,3 BHK,1595,3,2,70.39,3,4413.166144
Super built-up  Area,other,3 BHK,1640,3,3,84,3,5121.95122
Super built-up  Area,other,2 BHK,1200,2,2,54,2,4500
Super built-up  Area,other,3 BHK,1567.2,2,0,190,3,12123.53241
Built-up  Area,other,2 BHK,959,2,1,42.5,2,4431.699687
Super built-up  Area,other,2 BHK,1141,2,1,55,2,4820.333041
Built-up  Area,other,2 BHK,1200,2,2,43.2,2,3600
Super built-up  Area,other,3 BHK,1240,2,2,65,3,5241.935484
Super built-up  Area,other,2 BHK,1293,2,2,75,2,5800.464037
Super built-up  Area,other,3 BHK,1885,3,3,90,3,4774.535809
Built-up  Area,other,2 BHK,860,2,2,65.5,2,7616.27907
Super built-up  Area,other,3 BHK,1374,2,2,88,3,6404.657933
Super built-up  Area,other,2 BHK,1250,2,2,60,2,4800
Super built-up  Area,other,2 BHK,1110,2,2,52,2,4684.684685
Built-up  Area,other,3 BHK,1350,3,2,48.6,3,3600
Built-up  Area,other,4 Bedroom,2000,2,1,160,4,8000
Super built-up  Area,other,1 BHK,834,1,1,62,1,7434.052758
Plot  Area,other,1 Bedroom,600,1,0,52,1,8666.666667
Super built-up  Area,other,4 BHK,2000,4,1,135,4,6750
Super built-up  Area,other,3 BHK,2750,3,2,260,3,9454.545455
Built-up  Area,other,2 BHK,900,2,3,35,2,3888.888889
Super built-up  Area,other,2 BHK,1000,2,1,46,2,4600
Super built-up  Area,other,2 BHK,1200,2,2,52,2,4333.333333
Super built-up  Area,other,2 BHK,1280,2,2,90,2,7031.25
Built-up  Area,other,2 BHK,1190,2,1,55,2,4621.848739
Super built-up  Area,other,3 BHK,2075,3,1,175,3,8433.73494
Super built-up  Area,other,3 BHK,1900,3,0,65,3,3421.052632
Super built-up  Area,other,3 BHK,1578,3,1,73.9,3,4683.143219
Super built-up  Area,other,2 BHK,1475,2,1,70,2,4745.762712
Super built-up  Area,other,2 BHK,2400,2,3,125,2,5208.333333
Super built-up  Area,other,3 BHK,1427,2,3,70,3,4905.395936
Super built-up  Area,other,3 BHK,1350,3,2,68,3,5037.037037
Super built-up  Area,other,3 BHK,2274.24,4,1,160,3,7035.317293
Super built-up  Area,other,3 BHK,1455,2,2,55,3,3780.068729
Plot  Area,other,2 Bedroom,900,3,1,105,2,11666.66667
Built-up  Area,other,3 BHK,1570,3,2,80,3,5095.541401
Super built-up  Area,other,3 BHK,1495,2,2,65,3,4347.826087
Super built-up  Area,other,3 BHK,1350,3,0,75,3,5555.555556
Super built-up  Area,other,3 BHK,1464,3,2,56,3,3825.136612
Super built-up  Area,other,1 BHK,470,2,1,10,1,2127.659574
Built-up  Area,other,6 Bedroom,2300,7,0,160,6,6956.521739
Plot  Area,other,3 Bedroom,1313,4,2,150,3,11424.21935
Super built-up  Area,other,3 BHK,2515,4,3,155,3,6163.021869
Super built-up  Area,other,3 BHK,1440,3,2,72,3,5000
Super built-up  Area,other,2 BHK,1200,2,1,56,2,4666.666667
Super built-up  Area,other,3 BHK,2665,3,1,350,3,13133.20826
Super built-up  Area,other,3 BHK,1670,3,2,75,3,4491.017964
Super built-up  Area,other,4 BHK,3500,5,2,450,4,12857.14286
Super built-up  Area,other,2 BHK,700,2,1,29,2,4142.857143
Built-up  Area,other,3 BHK,1300,2,1,67,3,5153.846154
Super built-up  Area,other,2 BHK,1200,2,1,54,2,4500
Super built-up  Area,other,3 BHK,1215,2,2,49.75,3,4094.650206
Built-up  Area,other,2 BHK,1050,2,1,55,2,5238.095238
Built-up  Area,other,2 BHK,1258,2,0,58,2,4610.492846
Plot  Area,other,6 Bedroom,2400,5,2,300,6,12500
Super built-up  Area,other,8 BHK,3000,4,3,130,8,4333.333333
Super built-up  Area,other,2 BHK,1235,2,1,140,2,11336.03239
Built-up  Area,other,3 Bedroom,3200,3,0,260,3,8125
Built-up  Area,other,3 BHK,1450,3,2,90,3,6206.896552
Super built-up  Area,other,4 BHK,3754,6,2,480,4,12786.36121
Super built-up  Area,other,3 BHK,1893,3,2,115,3,6075.013207
Super built-up  Area,other,6 BHK,2400,6,2,98,6,4083.333333
Super built-up  Area,other,2 BHK,1250,2,1,43,2,3440
Built-up  Area,other,3 BHK,1200,2,2,100,3,8333.333333
Built-up  Area,other,2 BHK,1205,2,1,70,2,5809.128631
Plot  Area,other,3 Bedroom,1500,3,2,90,3,6000
Super built-up  Area,other,2 BHK,1190,2,2,41,2,3445.378151
Super built-up  Area,other,2 BHK,1250,2,1,67,2,5360
Plot  Area,other,2 Bedroom,2260,3,1,80,2,3539.823009
Plot  Area,other,4 Bedroom,2700,3,2,90,4,3333.333333
Built-up  Area,other,1 Bedroom,375,1,0,26,1,6933.333333
Plot  Area,other,2 Bedroom,800,3,1,59.5,2,7437.5
Built-up  Area,other,3 BHK,909,2,1,43,3,4730.473047
Super built-up  Area,other,2 BHK,1400,2,3,85,2,6071.428571
Built-up  Area,other,3 Bedroom,1800,2,2,100,3,5555.555556
Super built-up  Area,other,2 BHK,925,2,2,70,2,7567.567568
Built-up  Area,other,2 BHK,850,1,0,35.5,2,4176.470588
Super built-up  Area,other,2 BHK,1100,2,2,32,2,2909.090909
Built-up  Area,other,4 BHK,3500,2,1,350,4,10000
Super built-up  Area,other,2 BHK,1200,2,2,55,2,4583.333333
Built-up  Area,other,3 BHK,1480,3,2,74,3,5000
Super built-up  Area,other,3 BHK,2100,4,2,255,3,12142.85714
Built-up  Area,other,1 Bedroom,400,1,0,35,1,8750
Super built-up  Area,other,3 BHK,1310,2,1,55,3,4198.473282
Super built-up  Area,other,2 BHK,993,2,3,45.5,2,4582.074522
Built-up  Area,other,4 Bedroom,2400,5,3,180,4,7500
Super built-up  Area,other,1 BHK,6000,1,1,276,1,4600
Super built-up  Area,other,1 BHK,825,2,1,40,1,4848.484848
Super built-up  Area,other,3 BHK,1320,2,3,60,3,4545.454545
Built-up  Area,other,4 Bedroom,5000,5,2,600,4,12000
Super built-up  Area,other,2 BHK,1050,2,2,50,2,4761.904762
Plot  Area,other,4 Bedroom,4800,5,2,420,4,8750
Super built-up  Area,other,3 BHK,3400,3,3,400,3,11764.70588
Plot  Area,other,1 Bedroom,600,1,0,33,1,5500
Built-up  Area,other,3 BHK,1569,3,0,70,3,4461.440408
Built-up  Area,other,3 Bedroom,2600,3,2,147,3,5653.846154
Super built-up  Area,other,3 BHK,1410,2,2,45.12,3,3200
Built-up  Area,other,1 BHK,800,1,0,72,1,9000
Super built-up  Area,other,2 BHK,1020,2,1,49,2,4803.921569
Super built-up  Area,other,3 BHK,1225,2,2,82,3,6693.877551
Super built-up  Area,other,1 BHK,655,1,2,27,1,4122.137405
Super built-up  Area,other,2 BHK,1196,2,1,96,2,8026.755853
Carpet  Area,other,2 BHK,927,2,1,50,2,5393.743258
Super built-up  Area,other,1 BHK,600,1,0,18,1,3000
Super built-up  Area,other,2 BHK,1175,2,1,48.72,2,4146.382979
Built-up  Area,other,4 Bedroom,2800,4,1,200,4,7142.857143
Super built-up  Area,other,2 BHK,750,2,1,28,2,3733.333333
Super built-up  Area,other,2 BHK,1000,2,1,45,2,4500
Super built-up  Area,other,2 BHK,800,2,1,85,2,10625
Super built-up  Area,other,2 BHK,985,2,2,57,2,5786.80203
Super built-up  Area,other,11 BHK,6000,12,2,150,11,2500
Built-up  Area,other,7 Bedroom,3600,7,3,160,7,4444.444444
Plot  Area,other,2 Bedroom,600,2,1,80,2,13333.33333
Built-up  Area,other,3 BHK,1503,2,2,93,3,6187.62475
Plot  Area,other,2 Bedroom,1200,2,1,61,2,5083.333333
Super built-up  Area,other,3 BHK,2500,2,1,60,3,2400
Super built-up  Area,other,3 BHK,1500,2,2,52,3,3466.666667
Super built-up  Area,other,3 BHK,1765,3,2,77.27,3,4377.903683
Built-up  Area,other,3 BHK,1768,3,3,95,3,5373.303167
Super built-up  Area,other,4 BHK,3060,4,2,350,4,11437.9085
Super built-up  Area,other,1 BHK,800,1,2,32,1,4000
Plot  Area,other,7 Bedroom,3000,6,3,145,7,4833.333333
Plot  Area,other,1 Bedroom,600,1,1,35,1,5833.333333
Super built-up  Area,other,2 BHK,1010,2,2,55,2,5445.544554
Super built-up  Area,other,2 BHK,650,1,1,20,2,3076.923077
Super built-up  Area,other,2 BHK,1080,2,1,37.8,2,3500
Built-up  Area,other,4 Bedroom,3978,4,3,428,4,10759.17547
Plot  Area,other,2 Bedroom,1500,2,1,45,2,3000
Super built-up  Area,other,3 BHK,1800,3,3,85,3,4722.222222
Super built-up  Area,other,3 BHK,2008,3,2,170,3,8466.135458
Super built-up  Area,other,3 BHK,2095,3,2,142,3,6778.042959
Super built-up  Area,other,2 BHK,1190,2,1,48.6,2,4084.033613
Built-up  Area,other,3 BHK,1600,2,2,88,3,5500
Plot  Area,other,4 Bedroom,1350,4,2,160,4,11851.85185
Super built-up  Area,other,1 BHK,500,1,1,20,1,4000
Super built-up  Area,other,3 BHK,1280,2,1,100,3,7812.5
Built-up  Area,other,3 BHK,1650,3,1,110,3,6666.666667
Super built-up  Area,other,3 BHK,1500,2,2,75,3,5000
Super built-up  Area,other,3 BHK,1176,2,1,45,3,3826.530612
Plot  Area,other,2 Bedroom,1044,2,2,85,2,8141.762452
Super built-up  Area,other,3 BHK,1425,3,2,55,3,3859.649123
Plot  Area,other,2 Bedroom,840,1,1,99,2,11785.71429
Super built-up  Area,other,2 BHK,1285,2,2,45,2,3501.945525
Plot  Area,other,3 Bedroom,2000,2,2,95,3,4750
Super built-up  Area,other,4 BHK,3870,4,2,411,4,10620.15504
Super built-up  Area,other,3 BHK,1320,2,2,55,3,4166.666667
Super built-up  Area,other,3 BHK,1835,3,3,175,3,9536.784741
Super built-up  Area,other,2 BHK,1322,2,1,61.99,2,4689.107413
Super built-up  Area,other,3 BHK,1450,2,1,65,3,4482.758621
Super built-up  Area,other,1 BHK,425,1,1,15,1,3529.411765
Built-up  Area,other,2 BHK,820,2,2,30,2,3658.536585
Carpet  Area,other,3 BHK,1450,3,2,68,3,4689.655172
Super built-up  Area,other,4 BHK,2380,4,3,242,4,10168.06723
Plot  Area,other,2 Bedroom,900,1,0,70,2,7777.777778
Super built-up  Area,other,2 BHK,1517,2,2,125,2,8239.947264
Built-up  Area,other,3 BHK,1359.99,2,0,150,3,11029.49286
Super built-up  Area,other,2 BHK,1000,2,2,35,2,3500
Super built-up  Area,other,4 BHK,3602,4,2,280,4,7773.459189
Built-up  Area,other,3 BHK,2159,3,2,120,3,5558.128763
Plot  Area,other,3 Bedroom,1200,3,2,72,3,6000
Built-up  Area,other,6 Bedroom,1850,3,0,175,6,9459.459459
Built-up  Area,other,1 Bedroom,510,1,0,34,1,6666.666667
Super built-up  Area,other,2 BHK,1166,2,3,65,2,5574.614065
Built-up  Area,other,3 BHK,2700,2,1,260,3,9629.62963
Plot  Area,other,3 Bedroom,1350,2,0,175,3,12962.96296
Plot  Area,other,4 Bedroom,2100,6,3,100,4,4761.904762
Built-up  Area,other,2 BHK,940,2,1,56,2,5957.446809
Super built-up  Area,other,2 BHK,1015,2,1,40.1,2,3950.738916
Super built-up  Area,other,3 BHK,1400,3,3,69,3,4928.571429
Built-up  Area,other,3 BHK,1645,3,2,95,3,5775.075988
Built-up  Area,other,4 Bedroom,1600,4,2,90,4,5625
Built-up  Area,other,2 BHK,1000,2,1,63,2,6300
Super built-up  Area,other,2 BHK,1350,2,2,65,2,4814.814815
Super built-up  Area,other,3 BHK,1998,3,2,117,3,5855.855856
Super built-up  Area,other,2 BHK,1300,2,2,60,2,4615.384615
Built-up  Area,other,2 BHK,950,2,1,33,2,3473.684211
Super built-up  Area,other,3 BHK,1804,3,2,150,3,8314.855876
Super built-up  Area,other,3 BHK,1350,3,2,81,3,6000
Super built-up  Area,other,2 BHK,826,2,2,36,2,4358.353511
Super built-up  Area,other,4 BHK,3000,3,3,300,4,10000
Super built-up  Area,other,2 BHK,935,2,2,35,2,3743.315508
Super built-up  Area,other,2 BHK,1180,2,1,39,2,3305.084746
Built-up  Area,other,4 Bedroom,2200,3,0,115,4,5227.272727
Plot  Area,other,4 Bedroom,1200,4,1,110,4,9166.666667
Super built-up  Area,other,2 BHK,1500,2,1,50,2,3333.333333
Super built-up  Area,other,2 BHK,1217,2,1,164,2,13475.76007
Built-up  Area,other,6 Bedroom,2400,4,1,170,6,7083.333333
Built-up  Area,other,3 Bedroom,1650,3,0,52,3,3151.515152
Super built-up  Area,other,1 BHK,600,1,0,45,1,7500
Plot  Area,other,1 Bedroom,672,1,1,27,1,4017.857143
Plot  Area,other,3 Bedroom,1280,3,0,87,3,6796.875
Super built-up  Area,other,3 BHK,1850,3,3,95,3,5135.135135
Super built-up  Area,other,3 BHK,1567,3,1,100,3,6381.620932
Built-up  Area,other,3 BHK,2350,3,2,210,3,8936.170213
Super built-up  Area,other,2 BHK,1125,2,1,48,2,4266.666667
Super built-up  Area,other,3 BHK,1365,3,2,54,3,3956.043956
Super built-up  Area,other,1 BHK,560,1,0,19,1,3392.857143
Super built-up  Area,other,3 BHK,1471,2,3,75,3,5098.5724
Plot  Area,other,1 Bedroom,520,2,0,29,1,5576.923077
Built-up  Area,other,3 BHK,1950,3,3,230,3,11794.87179
Plot  Area,other,1 Bedroom,600,1,0,58,1,9666.666667
Super built-up  Area,other,1 BHK,1000,1,1,19,1,1900
Built-up  Area,other,2 BHK,1300,2,2,60,2,4615.384615
Plot  Area,other,1 Bedroom,375,1,0,40,1,10666.66667
Super built-up  Area,other,3 BHK,1477,2,2,75,3,5077.860528
Super built-up  Area,other,2 BHK,1220,2,1,65,2,5327.868852
Super built-up  Area,other,2 BHK,850,2,1,32.5,2,3823.529412
Super built-up  Area,other,2 BHK,1256,2,1,65,2,5175.159236
Super built-up  Area,other,3 BHK,1428,2,1,70,3,4901.960784
Super built-up  Area,other,2 BHK,1130,2,2,74,2,6548.672566
Super built-up  Area,other,2 BHK,1407,2,1,83.87,2,5960.909737
Built-up  Area,other,2 BHK,900,2,3,45,2,5000
Plot  Area,other,4 Bedroom,1350,4,2,160,4,11851.85185
Super built-up  Area,other,4 BHK,2375,3,2,260,4,10947.36842
Super built-up  Area,other,2 BHK,1200,2,1,67,2,5583.333333
Built-up  Area,other,3 BHK,1872,3,2,152,3,8119.65812
Super built-up  Area,other,3 BHK,1400,3,2,90,3,6428.571429
Plot  Area,other,1 Bedroom,812,1,1,26,1,3201.970443
Super built-up  Area,other,2 BHK,829,2,1,22.8,2,2750.301568
Super built-up  Area,other,1 BHK,600,2,1,35,1,5833.333333
Built-up  Area,other,2 BHK,700,2,1,35,2,5000
Super built-up  Area,other,2 BHK,1105,2,2,50,2,4524.886878
Super built-up  Area,other,2 BHK,1000,2,1,51,2,5100
Super built-up  Area,other,3 BHK,1240,2,1,63,3,5080.645161
Super built-up  Area,other,3 BHK,1393,3,2,54,3,3876.525485
Built-up  Area,other,3 BHK,1640,3,2,70,3,4268.292683
Plot  Area,other,2 Bedroom,1200,2,0,62,2,5166.666667
Super built-up  Area,other,3 BHK,1495,3,2,55,3,3678.929766
Built-up  Area,other,3 BHK,1400,3,2,53,3,3785.714286
Super built-up  Area,other,2 BHK,1054,2,1,53,2,5028.462998
Super built-up  Area,other,2 BHK,1275,2,2,47,2,3686.27451
Super built-up  Area,other,2 BHK,1394,2,3,52,2,3730.272597
Super built-up  Area,other,2 BHK,1075,2,1,57,2,5302.325581
Built-up  Area,other,3 BHK,1800,4,3,115,3,6388.888889
Super built-up  Area,other,2 BHK,1220,2,2,54.89,2,4499.180328
Super built-up  Area,other,3 BHK,1499,3,2,89,3,5937.291528
Super built-up  Area,other,3 BHK,1280,2,3,55,3,4296.875
Super built-up  Area,other,2 BHK,1161,2,3,36.69,2,3160.206718
Built-up  Area,other,2 BHK,1050,2,2,65,2,6190.47619
Super built-up  Area,other,2 BHK,905,2,2,50,2,5524.861878
Super built-up  Area,other,4 BHK,2736,4,2,130,4,4751.461988
Super built-up  Area,other,2 BHK,1056,2,2,55,2,5208.333333
Built-up  Area,other,3 BHK,1770,3,2,90,3,5084.745763
Super built-up  Area,other,3 BHK,3155,3,2,315,3,9984.152139
Built-up  Area,other,7 Bedroom,6500,7,1,104,7,1600
Super built-up  Area,other,2 BHK,1152,2,1,57,2,4947.916667
Super built-up  Area,other,2 BHK,1200,2,2,39,2,3250
Built-up  Area,other,3 BHK,1350,2,2,65,3,4814.814815
Super built-up  Area,other,3 BHK,1464,2,1,135,3,9221.311475
Super built-up  Area,other,2 BHK,1300,2,3,32,2,2461.538462
Super built-up  Area,other,2 BHK,1200,2,2,75,2,6250
Super built-up  Area,other,3 BHK,1707,3,2,171,3,10017.57469
Super built-up  Area,other,1 BHK,565,1,1,33,1,5840.707965
Plot  Area,other,1 Bedroom,630,2,1,70,1,11111.11111
Plot  Area,other,2 Bedroom,1000,2,1,55,2,5500
Built-up  Area,other,2 BHK,1045,2,2,42,2,4019.138756
Super built-up  Area,other,2 BHK,1250,2,1,62.4,2,4992
Plot  Area,other,3 Bedroom,2400,4,1,130,3,5416.666667
Built-up  Area,other,3 BHK,1720,3,3,83,3,4825.581395
Carpet  Area,other,2 BHK,1100,2,2,70,2,6363.636364
Built-up  Area,other,1 BHK,420,1,1,23.5,1,5595.238095
Built-up  Area,other,3 BHK,1675,3,2,65,3,3880.597015
Super built-up  Area,other,2 BHK,1225,2,2,71.05,2,5800
Plot  Area,other,4 Bedroom,1350,4,1,90,4,6666.666667
Super built-up  Area,other,3 BHK,1732.5,3,0,91.855,3,5301.875902
Plot  Area,other,2 Bedroom,3760,2,0,280,2,7446.808511
Super built-up  Area,other,3 BHK,3071,4,2,300,3,9768.80495
Built-up  Area,other,2 BHK,850,2,0,34,2,4000
Super built-up  Area,other,3 BHK,1260,2,1,49,3,3888.888889
Built-up  Area,other,3 BHK,1450,3,1,65,3,4482.758621
Plot  Area,other,3 Bedroom,2100,3,0,70,3,3333.333333
Super built-up  Area,other,3 BHK,1620,3,3,95,3,5864.197531
Built-up  Area,other,1 BHK,560,1,1,21,1,3750
Super built-up  Area,other,2 BHK,1156,2,2,46,2,3979.238754
Super built-up  Area,other,2 BHK,1140,2,2,56,2,4912.280702
Built-up  Area,other,3 BHK,2250,3,2,180,3,8000
Super built-up  Area,other,3 BHK,1485,3,2,78,3,5252.525253
Plot  Area,other,1 Bedroom,1350,2,0,45,1,3333.333333
Super built-up  Area,other,2 BHK,1209,2,2,100,2,8271.298594
Super built-up  Area,other,3 BHK,1500,3,1,95,3,6333.333333
Super built-up  Area,other,2 BHK,1000,2,2,60,2,6000
Built-up  Area,other,3 BHK,1488,2,2,65,3,4368.27957
Plot  Area,other,4 Bedroom,1200,4,2,130,4,10833.33333
Built-up  Area,other,3 BHK,2250,3,2,199,3,8844.444444
Super built-up  Area,other,4 BHK,3700,4,2,314,4,8486.486486
Super built-up  Area,other,2 BHK,1190,2,3,42.25,2,3550.420168
Built-up  Area,other,3 BHK,1405,3,0,169,3,12028.46975
Plot  Area,other,4 Bedroom,4800,6,2,420,4,8750
Super built-up  Area,other,2 BHK,1050,2,1,43.5,2,4142.857143
Super built-up  Area,other,3 BHK,1800,3,2,53,3,2944.444444
Super built-up  Area,other,1 BHK,500,1,1,16,1,3200
Built-up  Area,other,3 BHK,1600,3,2,180,3,11250
Super built-up  Area,other,2 BHK,1140,2,2,49,2,4298.245614
Super built-up  Area,other,1 BHK,648,1,1,34,1,5246.91358
Super built-up  Area,other,3 BHK,1720,2,2,126,3,7325.581395
Built-up  Area,other,2 BHK,1100,2,2,45,2,4090.909091
Super built-up  Area,other,2 BHK,825,2,1,35,2,4242.424242
Built-up  Area,other,2 BHK,1080,2,3,64,2,5925.925926
Super built-up  Area,other,2 BHK,1100,2,1,61,2,5545.454545
Super built-up  Area,other,2 BHK,800,1,1,29,2,3625
Super built-up  Area,other,2 BHK,1225,2,1,47,2,3836.734694
Super built-up  Area,other,1 BHK,535,1,1,35,1,6542.056075
Super built-up  Area,other,2 BHK,1067,2,3,33.99,2,3185.56701
Super built-up  Area,other,2 BHK,1152,2,1,42,2,3645.833333
Super built-up  Area,other,3 BHK,1465,2,2,88,3,6006.825939
Super built-up  Area,other,2 BHK,1145,2,1,63,2,5502.183406
Built-up  Area,other,4 BHK,3420,3,2,410,4,11988.30409
Super built-up  Area,other,2 BHK,1280,2,2,75,2,5859.375
Plot  Area,other,2 Bedroom,680,3,2,60,2,8823.529412
Super built-up  Area,other,3 BHK,1450,3,2,75,3,5172.413793
Built-up  Area,other,3 BHK,1738,3,0,110,3,6329.113924
Plot  Area,other,3 Bedroom,1500,3,1,90,3,6000
Super built-up  Area,other,2 BHK,982,2,1,25,2,2545.824847
Plot  Area,other,2 Bedroom,1050,2,1,110,2,10476.19048
Super built-up  Area,other,2 BHK,1541,2,1,181,2,11745.61973
Super built-up  Area,other,2 BHK,1275,2,1,105,2,8235.294118
Super built-up  Area,other,3 BHK,2048,3,2,206,3,10058.59375
Super built-up  Area,other,3 BHK,1119,2,1,48.5,3,4334.226988
Super built-up  Area,other,3 BHK,1355,2,3,58.25,3,4298.892989
Super built-up  Area,other,2 BHK,1095,2,2,55.85,2,5100.456621
Plot  Area,other,3 Bedroom,2320,2,0,160,3,6896.551724
Super built-up  Area,other,3 BHK,1237,3,2,78,3,6305.578011
Super built-up  Area,other,2 BHK,1464,2,2,56,2,3825.136612
Plot  Area,other,2 Bedroom,1840,1,0,95,2,5163.043478
Plot  Area,other,4 Bedroom,2400,4,2,89,4,3708.333333
Plot  Area,other,4 Bedroom,1200,2,1,140,4,11666.66667
Super built-up  Area,other,3 BHK,1639,3,1,77.89,3,4752.28798
Super built-up  Area,other,2 BHK,1160,2,2,75,2,6465.517241
Super built-up  Area,other,3 BHK,1294,2,2,52,3,4018.547141
Super built-up  Area,other,2 BHK,1095,2,1,45,2,4109.589041
Super built-up  Area,other,2 BHK,1040,2,2,36.84,2,3542.307692
Super built-up  Area,other,3 BHK,1325,2,1,47,3,3547.169811
Super built-up  Area,other,2 BHK,1108,2,1,48,2,4332.129964
Super built-up  Area,other,2 BHK,1155,2,1,65,2,5627.705628
Super built-up  Area,other,3 BHK,1464,3,2,56,3,3825.136612
Super built-up  Area,other,3 BHK,1500,3,3,67.49,3,4499.333333
Super built-up  Area,other,2 BHK,1060,2,1,42.5,2,4009.433962
Built-up  Area,other,2 Bedroom,984,2,2,125,2,12703.25203
Super built-up  Area,other,2 BHK,1148,2,2,69,2,6010.452962
Super built-up  Area,other,3 BHK,1719,3,2,110,3,6399.069226
Super built-up  Area,other,3 BHK,1420,3,3,70,3,4929.577465
Plot  Area,other,4 Bedroom,3000,4,3,264,4,8800
Super built-up  Area,other,3 BHK,1398,3,0,51,3,3648.06867
